nome,apelido,numero,cidade,estado,sexo,idade,filiacao,graduacao
Liam Barros,jose76,57,Pastor da Prata,Minas Gerais,F,29,Petroleiro,Vermelha-branca
Ana Cecília Garcia,correiabarbara,938,Ribeiro,Pará,M,19,Perito criminal,Azul
Caroline Costa,leaodavi-lucas,764,Freitas,Rio Grande do Norte,F,19,Co-piloto,Laranja
Raquel Gonçalves,beatriz24,884,da Costa das Flores,Acre,F,82,Gestor de tecnologia da informação,Azul
Ana Carolina Vieira,ecarvalho,793,Castro,Maranhão,F,62,Velejador,Vermelha-branca
Ágatha Pinto,felipe74,762,Cassiano,Mato Grosso,F,90,Acupunturista,Azul
Dr. Vitor Monteiro,anthony-gabriel92,230,da Mata,Paraíba,F,42,Modelo,Roxa-marrom
Sr. Henry Machado,lpastor,171,Aragão do Sul,Piauí,F,36,Radialista,Vermelha-branca
Rafael Cassiano,bernardodias,613,Ribeiro da Praia,Mato Grosso,F,62,Contramestre em transporte marítimo,Azul-verde
Sr. Henry Gabriel Rezende,nogueiracarolina,509,Aragão,Roraima,F,39,Gandula,Marrom
Marina Farias,gomesbeatriz,560,Fonseca do Amparo,Acre,F,46,Técnico em agropecuária,Marrom-vermelha
Igor Cassiano,maria-julia37,137,Monteiro da Mata,Rondônia,M,36,Esgrimista,Roxa
Francisco Cirino,barroslara,377,Freitas do Sul,Paraíba,M,74,Odontopediatra,Vermelha-branca
Dra. Aylla da Costa,cavalcantebryan,742,da Cunha,Alagoas,M,86,Subprefeito,Marrom
Melina Barros,fpereira,369,Costa Paulista,Alagoas,F,30,Procurador de justiça,Azul
Lucas Gabriel Carvalho,calebe14,691,Leão Paulista,Espírito Santo,F,43,Veterinário,Verde
Theo Ferreira,bryanrios,194,Garcia Alegre,Amapá,F,63,Apresentador,Azul-verde
Isabela Albuquerque,hcamara,52,Cavalcante,São Paulo,M,67,Locutor,Verde-roxa
Ana Luiza Pastor,imendes,446,Moreira das Pedras,São Paulo,F,63,Oficial de justiça,Marrom
Thales Casa Grande,agatha00,17,da Mata de Vieira,Rio Grande do Norte,M,67,Jornaleiro,Branca
Luara Borges,vitor-hugo50,478,Costa,Minas Gerais,M,61,Engenheiro têxtil,Laranja
Maria Fernanda Ferreira,levicirino,169,Câmara de Vieira,Paraíba,M,62,Diagramador,Marrom
Dr. Francisco Novaes,maysacarvalho,127,da Costa,Roraima,F,54,Otorrinolaringologista,Roxa-marrom
Sabrina da Rocha,caldeiralavinia,572,Rezende da Serra,Ceará,F,71,Coronel,Vermelha
Stephany Macedo,antonioramos,391,Sampaio da Prata,Rio Grande do Sul,F,64,Designer de produto ou desenhista industrial,Branca
Gabriel da Conceição,hcarvalho,171,Jesus,Goiás,F,67,Inspetor,Laranja
Srta. Maria Luísa Porto,abreuenzo-gabriel,430,Nascimento,Amapá,F,60,Toxicologista,Roxa
Nicole Almeida,nunesrael,129,Vargas,Amapá,F,53,Endocrinologista,Vermelha
Guilherme da Conceição,wmoraes,376,Correia de Sousa,Rio Grande do Norte,M,35,Geógrafo,Marrom-vermelha
Bruna da Mata,ana-julia33,526,Oliveira,Sergipe,F,62,Cientista,Azul-verde
Vitor Gabriel das Neves,da-conceicaoeduarda,756,da Luz de Goiás,Pernambuco,M,77,Pedreiro,Roxa-marrom
Renan Mendonça,nina67,414,Sousa do Norte,Sergipe,M,42,Teólogo,Vermelha-branca
Augusto Moreira,borgesmirella,76,Rodrigues Paulista,Ceará,F,73,Teólogo,Marrom-vermelha
Davi Lucca Guerra,joao64,375,Azevedo,Rondônia,F,31,Cartógrafo,Laranja
Oliver Moreira,ana-lizalbuquerque,424,Machado das Flores,Paraíba,F,78,Jogador de golfe,Roxa
Gael Henrique Fonseca,da-rochacaua,762,Monteiro,Amapá,F,49,Gandula,Marrom
Ryan da Rocha,aramos,902,Costa,Alagoas,F,48,Laboratorista,Branca
Guilherme Rezende,daniela44,140,Casa Grande,São Paulo,M,35,Engenheiro de minas,Azul-verde
Maria Aparecida,sarapereira,984,Nunes,Distrito Federal,F,50,Geógrafo,Azul
Carlos Eduardo Lima,hsampaio,551,Moura,Minas Gerais,F,85,Major,Vermelha-branca
